id,name,category_id,description,is_active,subcategory_id,marca,package_size,segment,timac_points
1bf518c3-a343-4077-b2c3-975e3de58089,VERDICT ULTRA 1L,cat-agroquimicos,CORTEVA,t,sub-dessecacao,CORTEVA,1.00,herbicida,0.00
87d3e1d2-afd2-4015-be36-a9d026e7db86,FERT TOP PHOS 280 HP - TIMAC -  BB,cat-fertilizantes,TIMAC,t,,TIMAC,,,0.00
3d178945-52d5-4432-996c-c278b6ea65d8,CLOMAZERB 48- CLOMAZONE 48% EC-20LT,cat-agroquimicos,TAMPA,t,sub-dessecacao,TAMPA,20.00,herbicida,0.00
ba8fca06-34cf-4522-aaa0-7db09b2c1d26,TEXARO - HALAUXIFEN 11.5% + DICLOS. 58% - 860GR,cat-agroquimicos,CORTEVA,t,sub-dessecacao,CORTEVA,860.00,herbicida,0.00
a5559749-42ae-432c-b0ba-f00e8a2c778d,TRIBO 840 - DICLOSULAN 84% - 500G,cat-agroquimicos,IASA,t,sub-dessecacao,IASA,,herbicida,0.00
fb02ef37-26e9-47eb-a93a-0889ae0d6f92,HEAT - SAFLUFENACIL - 350G,cat-agroquimicos,BASF - GPSA,t,sub-dessecacao,BASF - GPSA,,herbicida,0.00
b50d90e9-2757-4b16-9b07-4a15b8cf7794,SEMILLA DE MAIZ AG 8701 PRO4- BLS.,cat-sem-milho,TECNOMYL,t,,TECNOMYL,,,0.00
0361b77f-2672-46ab-8a99-8b73e35d3e79,TEBUDIFEN 40 - DIFENO 20%+ TEBUCONAZOLE 20%- 5L.,cat-agroquimicos,TAMPA,t,sub-fungicidas,TAMPA,5.00,fungicida,0.00
f23baab8-1bf0-43da-a63d-7823a6db678c,VIOVAN - 5L,cat-agroquimicos,CORTEVA,t,sub-fungicidas,CORTEVA,5.00,fungicida,0.00
67c87f17-a7a3-4096-9369-02798c7e0533,LASCAR - ACEFATO 97% DF - 5KG,cat-agroquimicos,UPL,t,sub-inseticidas,UPL,5.00,inseticida,0.00
f5239860-3e6d-4d1b-ba94-b296991de308,CLORANTE 625 FS- 1LTS.,cat-agroquimicos,TAMPA,t,sub-tratamento-sementes,TAMPA,1.00,ts,0.00
42cbc55a-b963-47ae-8666-fe631051994a,FERT 05-25-25 - FERTIPAR - BB- KG,cat-fertilizantes,FERTIPAR FERTILIZANTES,t,,FERTIPAR FERTILIZANTES,,,0.00
ab387b26-c9e7-47da-9870-e869fe1d1581,FERT PFALM 05-25-25 - MOSAIC - BB - KG,cat-fertilizantes,MOSAIC,t,,MOSAIC,,,0.00
f41d0117-fba6-4ed8-bc94-7d5a976ec4ba,CLORANTE 80 WG CLORANTRANILIPROL 80 % 1 KG,cat-agroquimicos,TAMPA,t,,TAMPA,1.00,ts,0.00
