id,user_id,master_client_id,custom_name,planting_area,cultures,planting_progress,is_top80_20,is_active,created_at,credit_limit,include_in_market_area
2913e7e0-dc77-4adf-92f6-30bcc7ec0e48,5d7ef4d3-5a00-4251-b5e2-7c8fbfab3699,dde9e4ee-0415-4ede-9781-5714f9a2a9df,,,,0.00,t,t,2025-10-09 14:03:51.994326,,f
62587918-54f0-42c5-9c57-df6861615165,5d7ef4d3-5a00-4251-b5e2-7c8fbfab3699,feee2516-c1e8-426e-91cf-9ef8a8224efd,,,,0.00,t,t,2025-10-09 14:09:33.269559,,f
e0c121a7-4089-40f1-a521-c21eb7d17df7,5d7ef4d3-5a00-4251-b5e2-7c8fbfab3699,5ec1a5d0-b1d6-418c-af36-dfd3e5706164,,,,0.00,t,t,2025-10-09 14:03:51.760791,,f
5a36a535-0000-493b-8bab-35c22727555f,5d7ef4d3-5a00-4251-b5e2-7c8fbfab3699,1d6ca9b1-f8ee-4c52-b581-4c2263182152,,,,0.00,t,t,2025-10-09 14:03:49.573504,,f
69596b87-d839-4ce9-9f9c-1719b0eb964a,5d7ef4d3-5a00-4251-b5e2-7c8fbfab3699,08ec611d-8e67-4a04-b1ea-367c0d9aeaf4,,,,0.00,t,t,2025-10-09 14:03:49.398675,,f
fd13e467-07be-4989-b22e-3568d102246b,5d7ef4d3-5a00-4251-b5e2-7c8fbfab3699,1b0a4f71-0a18-4a85-95ec-7ce4296515d2,,,,0.00,t,t,2025-10-09 14:03:49.215157,,f
03af5577-f49c-4529-bcae-a8df1af1d714,5d7ef4d3-5a00-4251-b5e2-7c8fbfab3699,bd4be738-180e-478b-9928-6cb3d0cbde62,,,,0.00,t,t,2025-10-09 14:03:50.581291,,f
9ec3608c-9536-482a-8ed7-af5d4177729e,5d7ef4d3-5a00-4251-b5e2-7c8fbfab3699,d9b765db-998e-436f-bbc4-a5a62f3d93b9,,,,0.00,t,t,2025-10-09 14:03:48.86465,,f
a55c24bb-dd7d-48b0-938b-cc2abc1878b1,5d7ef4d3-5a00-4251-b5e2-7c8fbfab3699,f11d5661-b3d7-4093-ace6-015ab9bb4222,,,,0.00,t,t,2025-10-09 14:09:25.866111,,f
4543611d-a39e-4021-9e91-6d66147b800e,5d7ef4d3-5a00-4251-b5e2-7c8fbfab3699,2e2e8e1b-870a-497e-9dab-9a53427ad144,,,,0.00,t,t,2025-10-09 14:03:48.686993,,f
f95637a8-a256-4d39-8fb9-5e1cbe557b8f,5d7ef4d3-5a00-4251-b5e2-7c8fbfab3699,46d1b93c-bc85-4641-bf38-348c83a8b7f5,,,,0.00,t,t,2025-10-09 14:03:48.097874,,f
4223cfdd-ca56-4b36-a4db-7939a656ad8f,4f752ce4-b8f4-42a5-98a9-17a335304d6f,8357e1af-5372-40ae-af34-6c971ac323be,,200.00,[],0.00,f,t,2025-10-30 11:31:35.898228,,f
75012860-5f1b-4421-a6ea-99fe3c84acd3,3de3ad2e-1f77-45fa-937c-021f1ec3fb75,cd9f6b72-c52a-46ff-8ca8-aa60dec2e898,,,,0.00,f,t,2025-10-31 19:13:13.689798,,f
28edae86-aa86-4af7-9439-560247da90d7,3de3ad2e-1f77-45fa-937c-021f1ec3fb75,2c5bc14e-8770-4844-853f-8685ec67d9c4,,,,0.00,f,t,2025-10-31 19:13:14.11911,,f
aca315ed-d78a-4d60-8806-3c05573ca0d9,3de3ad2e-1f77-45fa-937c-021f1ec3fb75,b13a1280-b905-4d4d-9db1-03257d4f2e80,,,,0.00,f,t,2025-10-31 19:13:14.785294,,f
